127.0.0.1 - - [03/Nov/2025:12:26:32 +0000] "POST /api/secure/outage-processes HTTP/1.1" 201 339 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:26:33 +0000] "GET /api/secure/outage-processes?active=true&limit=50 HTTP/1.1" 200 1445 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:38:41 +0000] "GET /api/secure/personnel HTTP/1.1" 200 979 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:38:41 +0000] "GET /api/secure/getWorkAreas?active=true HTTP/1.1" 200 1303 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:38:41 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:38:41 +0000] "GET /api/getCities HTTP/1.1" 200 2404 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:38:41 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:38:41 +0000] "GET /api/secure/projects HTTP/1.1" 200 582 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:38:43 +0000] "POST /api/auth/login HTTP/1.1" 401 87 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:39:15 +0000] "POST /api/auth/login HTTP/1.1" 200 639 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:39:15 +0000] "GET /api/secure/vehicles HTTP/1.1" 200 1079 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:39:16 +0000] "GET /api/maintenance-records HTTP/1.1" 200 1824 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:39:16 +0000] "GET /api/secure/personnel HTTP/1.1" 200 979 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:39:16 +0000] "GET /api/asset-assignments?activeOnly=true HTTP/1.1" 200 416 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:39:16 +0000] "GET /api/secure/getWorkAreas HTTP/1.1" 200 1303 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:39:21 +0000] "GET /api/dashboard/personnel HTTP/1.1" 200 1284 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:39:22 +0000] "GET /api/secure/companies HTTP/1.1" 200 1739 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:39:22 +0000] "GET /api/secure/financial/current-accounts HTTP/1.1" 200 6965 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:39:28 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:39:28 +0000] "GET /api/getCities HTTP/1.1" 200 2404 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:39:28 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:39:28 +0000] "GET /api/secure/projects HTTP/1.1" 200 582 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:39:28 +0000] "GET /api/secure/getWorkAreas?active=true HTTP/1.1" 200 1303 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:39:28 +0000] "GET /api/secure/personnel HTTP/1.1" 200 979 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:39:29 +0000] "GET /api/secure/personnel HTTP/1.1" 200 979 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:39:29 +0000] "GET /api/secure/outage-processes?active=true&limit=50 HTTP/1.1" 200 1445 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:48:48 +0000] "GET /api/secure/getWorkAreas?active=true HTTP/1.1" 200 1303 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:48:48 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:48:48 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:48:49 +0000] "GET /api/getCities HTTP/1.1" 200 2404 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:48:56 +0000] "POST /api/auth/login HTTP/1.1" 200 639 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:48:56 +0000] "GET /api/secure/vehicles HTTP/1.1" 200 1079 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:48:56 +0000] "GET /api/secure/personnel HTTP/1.1" 200 979 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:48:56 +0000] "GET /api/maintenance-records HTTP/1.1" 200 1824 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:48:56 +0000] "GET /api/asset-assignments?activeOnly=true HTTP/1.1" 200 416 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:48:57 +0000] "GET /api/secure/getWorkAreas HTTP/1.1" 200 1303 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:49:00 +0000] "GET /api/getCities HTTP/1.1" 200 2404 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:49:00 +0000] "GET /api/secure/getWorkAreas?active=true HTTP/1.1" 200 1303 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:49:00 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:49:00 +0000] "GET /api/secure/projects HTTP/1.1" 200 582 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:49:00 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:49:00 +0000] "GET /api/secure/personnel HTTP/1.1" 200 979 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:49:08 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:49:08 +0000] "GET /api/secure/personnel HTTP/1.1" 200 979 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:49:08 +0000] "GET /api/secure/outage-processes?active=true&limit=50 HTTP/1.1" 200 1445 "-" "node"
127.0.0.1 - - [03/Nov/2025:13:04:32 +0000] "GET /api/getCities HTTP/1.1" 200 2404 "-" "node"
127.0.0.1 - - [03/Nov/2025:13:04:32 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [03/Nov/2025:13:04:32 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
