139.144.52.241 - - [10/Nov/2025:04:42:30 +0000] "GET /config HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:30 +0000] "GET /start.cfm HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:30 +0000] "GET /CHANGELOG.txt HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:30 +0000] "GET /admin/reports/updates HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:31 +0000] "GET /javascript/validation/OEM.js HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:31 +0000] "GET /index.jhtml HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:31 +0000] "GET / HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:31 +0000] "GET /pom.xml HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:31 +0000] "GET /workplace/home.action HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:31 +0000] "GET /webportal.cgi HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:31 +0000] "GET /build.gradle HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:31 +0000] "GET /indice.jsa HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:31 +0000] "GET /dashboard/ HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:31 +0000] "GET /css/eonweb.css HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:31 +0000] "GET / HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:31 +0000] "GET /rest/applinks/1.0/manifest HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:31 +0000] "GET /pandora_console/ HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:31 +0000] "GET /base.jhtml HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:31 +0000] "GET /centreon/api/latest/platform/versions HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:31 +0000] "GET /css/elfinder.min.css HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:31 +0000] "GET /webui/index.html HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:31 +0000] "GET /cgi-bin/authLogin.cgi HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:31 +0000] "GET /api/v3/meta HTTP/1.1" 404 202 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:32 +0000] "GET /admin.php HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:32 +0000] "GET /geoserver/web/ HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:32 +0000] "GET /api/v1/version HTTP/1.1" 404 208 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:32 +0000] "GET /admin.jsp HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:32 +0000] "GET /i18n/component/JS HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:32 +0000] "GET /officescan/console/html/localization.js HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:32 +0000] "GET /login.aspx HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:32 +0000] "GET /admin.asp HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:32 +0000] "GET /login/?next=/ HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:32 +0000] "GET /localstart.pl HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:32 +0000] "GET /MagicInfo/config.js HTTP/1.1" 200 625 "-" "curl/7.54.0"
